id;start_date;end_date;total_price;status;customer_id;bike_id
1;2026-06-11;2026-06-11;4614.38;ACTIVE;1;1
2;2026-06-11;2026-06-11;18170.11;FINISHED;2;2
3;2026-06-11;2026-06-11;299.89;CANCELLED;3;3
4;2026-06-11;2026-06-11;9595.61;CANCELLED;4;4
5;2026-06-11;2026-06-12;19202.63;FINISHED;5;5
6;2026-06-11;2026-06-11;14786.57;FINISHED;6;6
7;2026-06-11;2026-06-11;3361.78;FINISHED;7;7
8;2026-06-11;2026-06-11;274.46;CANCELLED;8;8
9;2026-06-11;2026-06-11;19618.84;CANCELLED;9;9
10;2026-06-11;2026-06-11;16629.83;ACTIVE;10;10
11;2026-06-11;2026-06-11;25286.27;CANCELLED;11;11
12;2026-06-11;2026-06-11;21605.66;ACTIVE;12;12
13;2026-06-11;2026-06-11;8141.36;ACTIVE;13;13
14;2026-06-11;2026-06-11;30735.47;FINISHED;14;14
15;2026-06-11;2026-06-11;9370.88;FINISHED;15;15
16;2026-06-11;2026-06-11;14062.4;FINISHED;16;16
17;2026-06-11;2026-06-11;27541.14;ACTIVE;17;17
18;2026-06-11;2026-06-11;25503.48;FINISHED;18;18
19;2026-06-11;2026-06-11;6294.66;FINISHED;19;19
20;2026-06-11;2026-06-11;30878.22;ACTIVE;20;20
21;2026-06-11;2026-06-11;31988.84;ACTIVE;21;21
22;2026-06-11;2026-06-11;9561.57;ACTIVE;22;22
23;2026-06-11;2026-06-12;20952.4;FINISHED;23;23
24;2026-06-11;2026-06-11;9194.16;FINISHED;24;24
25;2026-06-11;2026-06-11;31175.94;CANCELLED;25;25
26;2026-06-11;2026-06-11;26332.62;CANCELLED;26;26
27;2026-06-11;2026-06-11;24958.77;ACTIVE;27;27
28;2026-06-11;2026-06-11;5017.23;ACTIVE;28;28
29;2026-06-11;2026-06-11;31073.43;CANCELLED;29;29
30;2026-06-11;2026-06-11;20539.5;FINISHED;30;30
